zone,technology,measure,costs,value,unit
BT,EV_flexload,demand,,0.0,MWh
BT,EV_flexload,demand_capture_price,,,EUR/MWh
BT,EV_flexload,demand_capture_rate,,,
BT,EV_flexload,demand_curtail,,,
BT,baseload,demand,,31893144.28510841,MWh
BT,baseload,demand_capture_price,,60.9065098434272,EUR/MWh
BT,baseload,demand_capture_rate,,1.0635044290872748,
BT,baseload,demand_curtail,,0.9995993695784569,
BT,flexload,demand,,0.0,MWh
BT,flexload,demand_capture_price,,,EUR/MWh
BT,flexload,demand_capture_rate,,,
BT,flexload,demand_curtail,,,
BT,gas,capacity,,0.0,MW
BT,gas,capacity_factor,,0.0,
BT,gas,capture_price,,,EUR/MWh
BT,gas,capture_rate,,,
BT,gas,charge_capacity,,0.0,MW
BT,gas,costs,fixed_costs,0.0,EUR
BT,gas,costs,investment_costs,0.0,EUR
BT,gas,costs,variable_costs,0.0,EUR
BT,gas,curtail,,0.0,MWh
BT,gas,energy_capacity,,0.0,MW
BT,gas,generation,,0.0,MWh
BT,gas,new_capacity,,0.0,MW
BT,gas,new_charge_capacity,,0.0,MW
BT,gas,new_energy_capacity,,0.0,MW
BT,gas,retired_capacity,,0.0,MW
BT,gas,retired_charge_capacity,,0.0,MW
BT,gas,retired_energy_capacity,,0.0,MW
BT,must_run,capacity,,1400.0,MW
BT,must_run,capacity_factor,,0.4667464941780828,
BT,must_run,capture_price,,57.16488638149215,EUR/MWh
BT,must_run,capture_rate,,0.9981709674593762,
BT,must_run,charge_capacity,,0.0,MW
BT,must_run,costs,fixed_costs,0.0,EUR
BT,must_run,costs,investment_costs,0.0,EUR
BT,must_run,costs,variable_costs,0.0,EUR
BT,must_run,curtail,,0.0,MWh
BT,must_run,energy_capacity,,0.0,MW
BT,must_run,generation,,5724179.0046,MWh
BT,must_run,new_capacity,,0.0,MW
BT,must_run,new_charge_capacity,,0.0,MW
BT,must_run,new_energy_capacity,,0.0,MW
BT,must_run,retired_capacity,,0.0,MW
BT,must_run,retired_charge_capacity,,0.0,MW
BT,must_run,retired_energy_capacity,,0.0,MW
BT,nuclear,capacity,,1500.0,MW
BT,nuclear,capacity_factor,,0.91,
BT,nuclear,capture_price,,57.26963440641111,EUR/MWh
BT,nuclear,capture_rate,,1.0,
BT,nuclear,charge_capacity,,0.0,MW
BT,nuclear,costs,fixed_costs,0.0,EUR
BT,nuclear,costs,investment_costs,0.0,EUR
BT,nuclear,costs,variable_costs,0.0,EUR
BT,nuclear,curtail,,0.0,MWh
BT,nuclear,energy_capacity,,0.0,MW
BT,nuclear,generation,,11957400.0,MWh
BT,nuclear,new_capacity,,0.0,MW
BT,nuclear,new_charge_capacity,,0.0,MW
BT,nuclear,new_energy_capacity,,0.0,MW
BT,nuclear,retired_capacity,,0.0,MW
BT,nuclear,retired_charge_capacity,,0.0,MW
BT,nuclear,retired_energy_capacity,,0.0,MW
BT,nuclear_new,capacity,,0.0,MW
BT,nuclear_new,capacity_factor,,0.0,
BT,nuclear_new,capture_price,,,EUR/MWh
BT,nuclear_new,capture_rate,,,
BT,nuclear_new,charge_capacity,,0.0,MW
BT,nuclear_new,costs,fixed_costs,0.0,EUR
BT,nuclear_new,costs,investment_costs,0.0,EUR
BT,nuclear_new,costs,variable_costs,0.0,EUR
BT,nuclear_new,curtail,,0.0,MWh
BT,nuclear_new,energy_capacity,,0.0,MW
BT,nuclear_new,generation,,0.0,MWh
BT,nuclear_new,new_capacity,,0.0,MW
BT,nuclear_new,new_charge_capacity,,0.0,MW
BT,nuclear_new,new_energy_capacity,,0.0,MW
BT,nuclear_new,retired_capacity,,0.0,MW
BT,nuclear_new,retired_charge_capacity,,0.0,MW
BT,nuclear_new,retired_energy_capacity,,0.0,MW
BT,oilshale,capacity,,0.0,MW
BT,oilshale,capacity_factor,,0.0,
BT,oilshale,capture_price,,,EUR/MWh
BT,oilshale,capture_rate,,,
BT,oilshale,charge_capacity,,0.0,MW
BT,oilshale,costs,fixed_costs,0.0,EUR
BT,oilshale,costs,investment_costs,0.0,EUR
BT,oilshale,costs,variable_costs,0.0,EUR
BT,oilshale,curtail,,0.0,MWh
BT,oilshale,energy_capacity,,0.0,MW
BT,oilshale,generation,,0.0,MWh
BT,oilshale,new_capacity,,0.0,MW
BT,oilshale,new_charge_capacity,,0.0,MW
BT,oilshale,new_energy_capacity,,0.0,MW
BT,oilshale,retired_capacity,,0.0,MW
BT,oilshale,retired_charge_capacity,,0.0,MW
BT,oilshale,retired_energy_capacity,,0.0,MW
BT,solar,capacity,,3020.370646,MW
BT,solar,capacity_factor,,0.0806917071217945,
BT,solar,capture_price,,64.97864715884634,EUR/MWh
BT,solar,capture_rate,,1.1346090791802268,
BT,solar,charge_capacity,,0.0,MW
BT,solar,costs,fixed_costs,0.0,EUR
BT,solar,costs,investment_costs,0.0,EUR
BT,solar,costs,variable_costs,0.0,EUR
BT,solar,curtail,,1082644.746937557,MWh
BT,solar,energy_capacity,,0.0,MW
BT,solar,generation,,2134977.244840765,MWh
BT,solar,new_capacity,,0.0,MW
BT,solar,new_charge_capacity,,0.0,MW
BT,solar,new_energy_capacity,,0.0,MW
BT,solar,retired_capacity,,0.0,MW
BT,solar,retired_charge_capacity,,0.0,MW
BT,solar,retired_energy_capacity,,0.0,MW
BT,solar_existing,capacity,,0.0,MW
BT,solar_existing,capacity_factor,,0.0,
BT,solar_existing,capture_price,,,EUR/MWh
BT,solar_existing,capture_rate,,,
BT,solar_existing,charge_capacity,,0.0,MW
BT,solar_existing,costs,fixed_costs,0.0,EUR
BT,solar_existing,costs,investment_costs,0.0,EUR
BT,solar_existing,costs,variable_costs,0.0,EUR
BT,solar_existing,curtail,,0.0,MWh
BT,solar_existing,energy_capacity,,0.0,MW
BT,solar_existing,generation,,0.0,MWh
BT,solar_existing,new_capacity,,0.0,MW
BT,solar_existing,new_charge_capacity,,0.0,MW
BT,solar_existing,new_energy_capacity,,0.0,MW
BT,solar_existing,retired_capacity,,0.0,MW
BT,solar_existing,retired_charge_capacity,,0.0,MW
BT,solar_existing,retired_energy_capacity,,0.0,MW
BT,wind_offshore,capacity,,281.519833,MW
BT,wind_offshore,capacity_factor,,0.1055264354806513,
BT,wind_offshore,capture_price,,83.96641561083717,EUR/MWh
BT,wind_offshore,capture_rate,,1.4661594487398626,
BT,wind_offshore,charge_capacity,,0.0,MW
BT,wind_offshore,costs,fixed_costs,0.0,EUR
BT,wind_offshore,costs,investment_costs,0.0,EUR
BT,wind_offshore,costs,variable_costs,0.0,EUR
BT,wind_offshore,curtail,,511551.161227893,MWh
BT,wind_offshore,energy_capacity,,0.0,MW
BT,wind_offshore,generation,,260240.19216392035,MWh
BT,wind_offshore,new_capacity,,0.0,MW
BT,wind_offshore,new_charge_capacity,,0.0,MW
BT,wind_offshore,new_energy_capacity,,0.0,MW
BT,wind_offshore,retired_capacity,,0.0,MW
BT,wind_offshore,retired_charge_capacity,,0.0,MW
BT,wind_offshore,retired_energy_capacity,,0.0,MW
BT,wind_offshore_new,capacity,,0.0,MW
BT,wind_offshore_new,capacity_factor,,0.0,
BT,wind_offshore_new,capture_price,,,EUR/MWh
BT,wind_offshore_new,capture_rate,,,
BT,wind_offshore_new,charge_capacity,,0.0,MW
BT,wind_offshore_new,costs,fixed_costs,0.0,EUR
BT,wind_offshore_new,costs,investment_costs,0.0,EUR
BT,wind_offshore_new,costs,variable_costs,0.0,EUR
BT,wind_offshore_new,curtail,,0.0,MWh
BT,wind_offshore_new,energy_capacity,,0.0,MW
BT,wind_offshore_new,generation,,0.0,MWh
BT,wind_offshore_new,new_capacity,,0.0,MW
BT,wind_offshore_new,new_charge_capacity,,0.0,MW
BT,wind_offshore_new,new_energy_capacity,,0.0,MW
BT,wind_offshore_new,retired_capacity,,0.0,MW
BT,wind_offshore_new,retired_charge_capacity,,0.0,MW
BT,wind_offshore_new,retired_energy_capacity,,0.0,MW
